time,roll,pitch
0.08,0.66,-1.76
0.22,0.60,-1.76
0.26,0.69,-1.76
0.29,0.68,-1.77
0.33,0.62,-1.77
0.37,0.58,-1.79
0.41,0.59,-1.80
0.44,0.61,-1.79
0.48,0.63,-1.77
0.52,0.62,-1.78
0.56,0.58,-1.80
0.59,0.56,-1.83
0.63,0.53,-1.86
0.67,0.50,-1.89
0.70,0.48,-1.90
0.74,0.48,-1.89
0.77,0.49,-1.91
0.81,0.45,-1.97
0.84,0.37,-2.05
0.88,0.21,-2.21
0.91,0.10,-2.34
0.95,-0.01,-2.56
0.98,-0.08,-2.72
1.02,-0.13,-2.88
1.05,-0.16,-3.12
1.08,-0.19,-3.36
1.11,-0.21,-3.65
1.15,-0.17,-4.10
1.18,-0.12,-4.47
1.21,-0.07,-4.85
1.24,-0.04,-5.19
1.28,-0.05,-5.59
1.31,-0.09,-5.82
1.35,-0.20,-6.05
1.38,-0.26,-6.19
1.42,-0.37,-6.38
1.45,-0.43,-6.55
1.49,-0.47,-6.85
1.52,-0.46,-7.12
1.56,-0.44,-7.43
1.59,-0.41,-7.74
1.62,-0.41,-8.10
1.66,-0.45,-8.42
1.70,-0.50,-8.71
1.74,-0.60,-8.92
1.77,-0.71,-9.14
1.81,-0.85,-9.38
1.85,-0.96,-9.64
1.89,-1.05,-9.81
1.92,-1.18,-10.08
1.96,-1.26,-10.28
1.99,-1.30,-10.56
2.03,-1.29,-10.86
2.06,-1.24,-11.10
2.10,-1.15,-11.39
2.14,-1.12,-11.68
2.18,-1.15,-11.92
2.22,-1.34,-12.15
2.26,-1.68,-12.32
2.30,-2.04,-12.38
2.33,-2.66,-12.36
2.37,-3.46,-12.18
2.40,-4.14,-11.96
2.44,-4.85,-11.68
2.47,-5.73,-11.33
2.50,-6.27,-11.12
2.53,-6.68,-11.00
2.57,-7.03,-10.97
2.60,-7.45,-10.92
2.63,-7.65,-10.99
2.67,-7.83,-11.13
2.70,-7.94,-11.35
2.73,-7.98,-11.57
2.77,-7.97,-11.83
2.80,-7.90,-12.21
2.84,-7.85,-12.48
2.87,-7.83,-12.77
2.90,-7.95,-13.12
2.93,-8.11,-13.33
2.96,-8.31,-13.50
3.00,-8.57,-13.63
3.03,-8.82,-13.75
3.06,-9.07,-13.87
3.09,-9.29,-13.97
3.12,-9.53,-14.10
3.15,-9.69,-14.23
3.18,-9.81,-14.38
3.21,-9.85,-14.49
3.24,-9.89,-14.65
3.27,-9.91,-14.84
3.30,-9.89,-15.07
3.33,-9.84,-15.19
3.36,-9.83,-15.28
3.40,-9.89,-15.35
3.43,-9.97,-15.38
3.46,-10.11,-15.37
3.49,-10.32,-15.35
3.52,-10.69,-15.32
3.56,-10.99,-15.28
3.59,-11.30,-15.24
3.63,-11.68,-15.18
3.66,-11.96,-15.10
3.70,-12.06,-15.03
3.74,-12.07,-14.96
3.77,-11.95,-14.94
3.81,-11.77,-15.00
3.85,-11.62,-15.10
3.88,-11.42,-15.28
3.92,-11.27,-15.42
3.96,-11.09,-15.60
3.99,-10.91,-15.77
4.03,-10.78,-15.87
4.06,-10.60,-15.94
4.10,-10.50,-15.99
4.13,-10.42,-16.04
4.16,-10.33,-16.06
4.20,-10.28,-16.06
4.23,-10.24,-16.06
4.27,-10.21,-16.05
4.30,-10.15,-16.02
4.33,-10.04,-15.98
4.37,-9.93,-15.95
4.40,-9.78,-15.92
4.44,-9.53,-15.88
4.47,-9.32,-15.87
4.50,-9.12,-15.88
4.53,-8.91,-15.90
4.56,-8.64,-15.92
