time,roll,pitch
0.09,1.04,-1.71
0.23,1.08,-1.67
0.27,1.08,-1.65
0.30,1.09,-1.64
0.34,1.09,-1.61
0.38,1.11,-1.58
0.42,1.14,-1.55
0.46,1.17,-1.50
0.50,1.22,-1.44
0.54,1.26,-1.37
0.58,1.31,-1.28
0.62,1.38,-1.17
0.66,1.46,-1.06
0.70,1.49,-0.98
0.74,1.52,-0.87
0.78,1.55,-0.81
0.82,1.58,-0.77
0.86,1.61,-0.74
0.90,1.66,-0.66
0.94,1.66,-0.66
0.98,1.66,-0.66
1.01,1.66,-0.66
1.05,1.66,-0.66
1.09,1.67,-0.64
1.13,1.67,-0.64
1.17,1.67,-0.64
1.20,1.67,-0.64
1.25,1.84,1.02
1.29,1.87,1.24
1.33,1.52,1.30
1.37,0.85,0.50
1.41,0.57,-0.35
1.45,0.65,-0.35
1.49,0.94,0.06
1.53,1.39,1.08
1.57,1.68,1.97
1.61,1.71,2.17
1.65,1.57,2.02
1.68,1.10,1.24
1.72,0.85,0.65
1.77,0.82,0.72
1.81,0.93,1.32
1.85,1.30,2.27
1.89,1.47,2.91
1.92,1.53,3.03
1.96,1.44,2.77
2.00,1.31,1.83
2.04,1.25,1.23
2.08,1.20,1.32
2.12,1.14,1.86
2.16,1.15,2.74
2.19,1.16,3.23
2.23,1.22,3.11
2.27,1.28,2.71
2.31,1.43,1.77
2.34,1.49,1.39
2.38,1.50,1.42
2.42,1.40,1.96
2.46,1.29,2.51
2.50,1.16,2.93
2.54,1.10,2.97
2.57,1.09,2.78
2.61,1.16,2.44
2.65,1.26,2.19
2.69,1.35,2.28
2.72,1.40,2.45
2.76,1.41,2.61
2.80,1.39,2.76
2.84,1.38,2.83
2.87,1.39,2.88
2.91,1.41,2.94
2.95,1.39,3.05
2.99,1.34,3.14
3.02,1.31,3.17
3.06,1.31,3.18
3.10,1.26,3.40
3.14,1.23,3.64
3.18,1.24,3.86
3.22,1.24,3.93
3.26,1.27,3.70
3.30,1.32,3.54
3.34,1.40,3.52
3.38,1.45,3.64
3.42,1.42,3.86
3.46,1.38,3.99
3.50,1.34,4.10
3.54,1.33,4.17
3.58,1.34,4.27
3.62,1.33,4.29
3.66,1.30,4.26
