0.078,2.284,0.125,-1.365,-0.149,2.284,0.000,0.000000
0.200,2.291,0.125,-1.343,-0.147,2.285,-0.007,0.000001
0.234,2.291,0.125,-1.321,-0.145,2.286,-0.013,0.000001
0.267,2.182,0.046,-1.269,-0.121,2.271,-0.022,-0.000008
0.292,2.237,0.105,-1.238,-0.116,2.266,-0.030,-0.000011
0.316,2.322,0.166,-1.232,-0.129,2.274,-0.034,-0.000006
0.339,2.305,0.135,-1.218,-0.131,2.278,-0.040,-0.000003
0.363,2.252,0.136,-1.190,-0.132,2.274,-0.047,-0.000005
0.387,2.295,0.147,-1.174,-0.136,2.277,-0.052,-0.000004
0.411,2.296,0.140,-1.159,-0.137,2.280,-0.057,-0.000002
0.435,2.301,0.195,-1.144,-0.153,2.283,-0.063,-0.000000
0.459,2.296,0.158,-1.127,-0.155,2.284,-0.068,0.000001
0.482,2.346,0.155,-1.124,-0.156,2.293,-0.072,0.000006
0.506,2.334,0.160,-1.115,-0.158,2.299,-0.077,0.000010
0.529,2.294,0.159,-1.093,-0.158,2.298,-0.082,0.000010
0.553,2.306,0.157,-1.076,-0.158,2.299,-0.088,0.000010
0.576,2.339,0.165,-1.068,-0.160,2.304,-0.092,0.000014
0.600,2.289,0.159,-1.044,-0.159,2.302,-0.098,0.000012
0.624,2.310,0.161,-1.028,-0.158,2.302,-0.103,0.000013
0.648,2.339,0.162,-1.019,-0.157,2.307,-0.107,0.000016
0.671,2.287,0.156,-0.995,-0.155,2.304,-0.113,0.000015
0.696,2.312,0.160,-0.979,-0.153,2.304,-0.117,0.000015
0.723,2.331,0.158,-0.969,-0.151,2.308,-0.122,0.000018
0.753,2.310,0.160,-0.951,-0.149,2.307,-0.126,0.000018
0.784,2.338,0.154,-0.942,-0.146,2.311,-0.130,0.000020
0.815,2.309,0.160,-0.924,-0.144,2.310,-0.135,0.000020
0.847,2.342,0.159,-0.916,-0.142,2.314,-0.139,0.000023
0.879,2.299,0.154,-0.895,-0.139,2.311,-0.144,0.000022
0.910,2.353,0.157,-0.890,-0.137,2.317,-0.147,0.000025
0.939,2.333,0.190,-0.878,-0.143,2.319,-0.151,0.000027
0.968,2.304,0.192,-0.858,-0.149,2.316,-0.156,0.000025
0.995,2.342,0.185,-0.849,-0.152,2.319,-0.160,0.000028
1.018,2.291,0.193,-0.826,-0.156,2.314,-0.165,0.000025
1.043,2.310,0.188,-0.809,-0.157,2.313,-0.169,0.000025
1.066,2.342,0.189,-0.802,-0.158,2.316,-0.172,0.000028
1.090,2.333,0.189,-0.792,-0.159,2.318,-0.176,0.000029
1.114,2.291,0.190,-0.769,-0.159,2.313,-0.180,0.000027
1.138,2.355,0.190,-0.766,-0.159,2.318,-0.183,0.000030
1.163,2.335,0.191,-0.756,-0.159,2.320,-0.187,0.000032
1.186,2.296,0.189,-0.735,-0.157,2.315,-0.191,0.000030
1.210,2.351,0.194,-0.731,-0.157,2.320,-0.194,0.000033
1.234,2.336,0.192,-0.722,-0.156,2.321,-0.197,0.000034
1.257,2.299,0.196,-0.702,-0.156,2.317,-0.201,0.000032
1.283,2.347,0.193,-0.697,-0.155,2.320,-0.204,0.000035
1.307,2.337,0.188,-0.688,-0.152,2.322,-0.207,0.000036
1.332,2.297,0.189,-0.668,-0.150,2.317,-0.211,0.000034
1.355,2.344,0.190,-0.662,-0.147,2.320,-0.214,0.000037
1.380,2.335,0.191,-0.653,-0.146,2.321,-0.217,0.000038
1.403,2.296,0.193,-0.634,-0.144,2.316,-0.220,0.000036
1.427,2.343,0.191,-0.629,-0.142,2.319,-0.223,0.000038
1.451,2.338,0.193,-0.622,-0.141,2.321,-0.226,0.000040
1.480,2.346,0.195,-0.616,-0.139,2.324,-0.228,0.000042
1.510,2.338,0.189,-0.608,-0.136,2.325,-0.231,0.000043
1.540,2.340,0.194,-0.600,-0.135,2.326,-0.233,0.000044
1.571,2.353,0.187,-0.596,-0.132,2.329,-0.236,0.000047
1.604,2.321,0.196,-0.582,-0.131,2.326,-0.239,0.000046
1.638,2.317,0.163,-0.568,-0.121,2.324,-0.242,0.000045
1.676,2.329,0.160,-0.558,-0.112,2.323,-0.245,0.000046
1.708,2.266,0.162,-0.531,-0.104,2.313,-0.249,0.000041
1.737,2.288,0.159,-0.513,-0.096,2.308,-0.252,0.000038
1.761,2.244,0.161,-0.485,-0.090,2.297,-0.256,0.000033
1.785,2.266,0.156,-0.467,-0.084,2.291,-0.260,0.000030
1.809,2.288,0.159,-0.456,-0.079,2.290,-0.262,0.000030
1.832,2.244,0.161,-0.434,-0.075,2.281,-0.265,0.000026
1.855,2.266,0.156,-0.421,-0.071,2.278,-0.268,0.000024
1.878,2.291,0.159,-0.415,-0.067,2.278,-0.270,0.000026
1.902,2.246,0.161,-0.398,-0.065,2.272,-0.273,0.000023
1.925,2.259,0.162,-0.386,-0.063,2.269,-0.275,0.000022
1.948,2.259,0.162,-0.374,-0.062,2.266,-0.277,0.000021
1.972,2.253,0.162,-0.363,-0.060,2.263,-0.279,0.000020
1.995,2.268,0.166,-0.356,-0.060,2.262,-0.281,0.000020
2.019,2.265,0.166,-0.349,-0.059,2.261,-0.283,0.000020
2.043,2.253,0.164,-0.339,-0.058,2.259,-0.285,0.000020
2.066,2.259,0.165,-0.331,-0.058,2.257,-0.286,0.000020
2.089,2.266,0.163,-0.326,-0.056,2.257,-0.288,0.000020
2.113,2.253,0.162,-0.318,-0.055,2.255,-0.289,0.000020
2.136,2.259,0.165,-0.312,-0.054,2.254,-0.291,0.000020
2.159,2.265,0.166,-0.307,-0.054,2.254,-0.292,0.000021
2.183,2.253,0.164,-0.300,-0.053,2.253,-0.294,0.000021
2.206,2.258,0.171,-0.294,-0.054,2.252,-0.295,0.000022
2.235,2.262,0.165,-0.290,-0.053,2.252,-0.296,0.000023
2.267,2.253,0.162,-0.284,-0.052,2.251,-0.298,0.000023
2.296,2.268,0.163,-0.282,-0.050,2.252,-0.299,0.000024
2.328,2.237,0.160,-0.271,-0.049,2.248,-0.300,0.000023
2.360,2.267,0.172,-0.270,-0.050,2.250,-0.301,0.000025
2.392,2.261,0.171,-0.266,-0.051,2.250,-0.302,0.000026
2.422,2.238,0.176,-0.257,-0.053,2.247,-0.304,0.000025
2.452,2.267,0.179,-0.256,-0.055,2.248,-0.305,0.000026
2.480,2.238,0.176,-0.247,-0.056,2.245,-0.306,0.000026
2.504,2.237,0.170,-0.239,-0.055,2.242,-0.308,0.000025
2.528,2.239,0.164,-0.232,-0.053,2.240,-0.309,0.000025
2.552,2.232,0.164,-0.224,-0.051,2.238,-0.310,0.000024
2.576,2.258,0.166,-0.224,-0.049,2.239,-0.311,0.000026
2.601,2.239,0.164,-0.218,-0.048,2.237,-0.312,0.000026
2.625,2.236,0.164,-0.212,-0.046,2.236,-0.313,0.000025
2.649,2.261,0.166,-0.213,-0.045,2.238,-0.314,0.000028
2.676,2.239,0.164,-0.208,-0.044,2.236,-0.315,0.000028
2.701,2.239,0.164,-0.203,-0.043,2.235,-0.316,0.000028
2.726,2.254,0.166,-0.202,-0.042,2.236,-0.316,0.000030
2.750,2.232,0.164,-0.196,-0.041,2.234,-0.317,0.000029
2.773,2.239,0.164,-0.192,-0.040,2.233,-0.318,0.000030
2.799,2.246,0.158,-0.190,-0.037,2.234,-0.319,0.000031
2.823,2.239,0.164,-0.186,-0.037,2.233,-0.320,0.000031
2.850,2.239,0.158,-0.183,-0.034,2.232,-0.320,0.000032
2.887,2.245,0.165,-0.181,-0.034,2.232,-0.321,0.000033
2.921,2.239,0.164,-0.178,-0.034,2.232,-0.322,0.000033
2.954,2.241,0.164,-0.175,-0.034,2.232,-0.322,0.000034
2.997,2.241,0.164,-0.173,-0.034,2.231,-0.323,0.000035
3.054,2.232,0.164,-0.168,-0.033,2.230,-0.324,0.000035
3.087,2.248,0.165,-0.168,-0.033,2.231,-0.324,0.000037
3.121,2.235,0.164,-0.165,-0.032,2.230,-0.325,0.000037
3.152,2.236,0.164,-0.161,-0.032,2.229,-0.326,0.000038
3.183,2.239,0.164,-0.159,-0.032,2.229,-0.326,0.000038
3.215,2.232,0.164,-0.155,-0.031,2.228,-0.327,0.000039
3.245,2.246,0.158,-0.156,-0.029,2.229,-0.327,0.000040
